ride_id,bike_type,cycle_brand,start_station,start_id,end_station,end_id,start_lat,start_lng,end_lat,end_lng,member_status,start_date,start_time,end_date,end_time,ride_time_mins,season,minutes_price,charge_percent,customer_id,first_name,last_name,email,birth_date,gender
CF2C7564FAB00ADE,classic,brand3,Ridge Blvd & Howard St,514,Valli Produce - Evanston Plaza,599,42.02,-87.68,42.04,-87.7,member,1/2/2023,15:17:00,1/2/2023,15:36:00,18,Winter,0.05,0.9,1,Jackson,Garcia,JacksonGarcia@gmail.com,6/6/1991,male
1CBA19D77EE6639C,classic,brand4,Lakefront Trail & Bryn Mawr Ave,15576,Clark St & Elmdale Ave,KA1504000148,41.98,-87.65,41.99,-87.67,member,1/6/2023,15:52:00,1/6/2023,16:03:00,11,Winter,0.05,1,2,Mason,Walker,MasonWalker@gmail.com,4/20/1977,male
46C0CD236E3BA184,classic,brand1,Eastlake Ter & Howard St,523,Warren Park West,RP-001,42.02,-87.66,42,-87.69,member,1/18/2023,8:55:00,1/18/2023,9:14:00,18,Winter,0.05,0.9,3,Ava,Clark,AvaClark@gmail.com,2/8/1985,female
CDC83D5354D99565,classic,brand2,Eastlake Ter & Howard St,523,Warren Park West,RP-001,42.02,-87.66,42,-87.69,member,1/8/2023,11:16:00,1/8/2023,11:36:00,20,Winter,0.05,0.9,4,Jack,Thompson,JackThompson@gmail.com,7/27/1977,male
CC6668AD340F6965,classic,brand3,Wood St & Taylor St (Temp),13285,Walsh Park,18067,41.87,-87.67,41.91,-87.67,member,1/4/2023,16:42:00,1/4/2023,17:06:00,24,Winter,0.05,0.9,5,Jackson,Thompson,JacksonThompson@gmail.com,7/7/1975,male
DF5A82F3DCB59C12,classic,brand4,Indiana Ave & Roosevelt Rd,SL-005,Adler Planetarium,13431,41.87,-87.62,41.87,-87.61,member,1/25/2023,8:33:00,1/25/2023,8:41:00,7,Winter,0.05,1,6,Emma,Clark,EmmaClark@gmail.com,12/8/1983,female
6BB8F0DF56396D42,electric,brand1,Pulaski Rd & 51st St,343,Pulaski Rd & 51st St,343,41.8,-87.72,41.8,-87.72,non-member,1/17/2023,7:48:00,1/17/2023,7:49:00,0,Winter,0.07,1,7,Ava,Smith,AvaSmith@gmail.com,3/27/1976,female
A10BF5A587F9D4B2,classic,brand2,Ridge Blvd & Touhy Ave,RP-006,Warren Park West,RP-001,42.01,-87.68,42,-87.69,member,1/8/2023,12:18:00,1/8/2023,12:28:00,10,Winter,0.05,1,8,Jack,Robinson,JackRobinson@gmail.com,8/23/1956,male
669361BCBC84EA49,electric,brand3,Komensky Ave & 55th St,347,Pulaski Rd & 51st St,343,41.79,-87.72,41.8,-87.72,member,1/19/2023,7:48:00,1/19/2023,7:52:00,4,Winter,0.07,1,9,Mason,Jones,MasonJones@gmail.com,9/26/1995,male
B78D837C058AF4DC,electric,brand4,Walsh Park,18067,Walsh Park,18067,41.91,-87.67,41.91,-87.67,member,1/12/2023,7:16:00,1/12/2023,7:17:00,1,Winter,0.07,1,10,Aiden,Lee,AidenLee@gmail.com,2/19/1996,male
B6F2DEA08699A3AE,classic,brand1,Walsh Park,18067,Walsh Park,18067,41.91,-87.67,41.91,-87.67,member,1/19/2023,9:49:00,1/19/2023,10:26:00,37,Winter,0.05,0.8,11,Liam,Williams,LiamWilliams@gmail.com,2/20/1969,male
D5B5D1B549C85FEC,electric,brand2,Lawler Ave & 50th St,400,Pulaski Rd & 51st St,343,41.8,-87.75,41.8,-87.72,member,1/4/2023,8:49:00,1/4/2023,8:56:00,7,Winter,0.07,1,12,Jackson,Rodriguez,JacksonRodriguez@gmail.com,3/15/1989,male
836AA7376E9DA905,classic,brand3,Clark St & Newport St,632,Warren Park West,RP-001,41.94,-87.65,42,-87.69,member,1/17/2023,17:15:00,1/17/2023,17:44:00,29,Winter,0.05,0.9,13,Ethan,Martinez,EthanMartinez@gmail.com,6/18/1948,male
0B9A34AB9DFA1BD9,classic,brand4,Racine Ave & 18th St,13164,Canal St & Jackson Blvd,13138,41.86,-87.66,41.88,-87.64,member,1/12/2023,11:29:00,1/12/2023,11:48:00,19,Winter,0.05,0.9,14,Oliver,Young,OliverYoung@gmail.com,12/10/1946,male
3C57AF285897E540,classic,brand1,Broadway & Sheridan Rd,13323,Warren Park West,RP-001,41.95,-87.65,42,-87.69,member,1/3/2023,19:16:00,1/3/2023,19:44:00,27,Winter,0.05,0.9,15,Oliver,Thompson,OliverThompson@gmail.com,5/31/1967,male
593CDB7701DDFF88,classic,brand2,Clark St & Elmdale Ave,KA1504000148,Warren Park West,RP-001,41.99,-87.67,42,-87.69,member,1/22/2023,11:50:00,1/22/2023,12:05:00,16,Winter,0.05,0.9,16,Alexander,Martinez,AlexanderMartinez@gmail.com,10/22/2008,male
290A70390D59F525,classic,brand3,Clark St & Leland Ave,TA1309000014,Warren Park West,RP-001,41.97,-87.67,42,-87.69,member,1/27/2023,21:28:00,1/27/2023,21:51:00,23,Winter,0.05,0.9,17,Jack,Walker,JackWalker@gmail.com,11/3/1954,male
401B3C1F3E19D26E,classic,brand4,Montrose Harbor,TA1308000012,Clark St & Elmdale Ave,KA1504000148,41.96,-87.64,41.99,-87.67,member,1/7/2023,13:03:00,1/7/2023,13:22:00,19,Winter,0.05,0.9,18,Henry,Hall,HenryHall@gmail.com,5/13/1994,male
0EF1184CD6FEAB39,classic,brand1,California Ave & Milwaukee Ave,13084,Sacramento Blvd & Franklin Blvd,KA1504000113,41.92,-87.7,41.89,-87.7,member,1/21/2023,14:31:00,1/21/2023,14:49:00,19,Winter,0.05,0.9,19,Jack,Allen,JackAllen@gmail.com,8/18/2004,male
9E0C9F957F4CE21A,classic,brand2,Indiana Ave & Roosevelt Rd,SL-005,McClurg Ct & Ohio St,TA1306000029,41.87,-87.62,41.89,-87.62,member,1/11/2023,21:53:00,1/11/2023,22:08:00,15,Winter,0.05,0.9,20,Benjamin,Moore,BenjaminMoore@gmail.com,4/30/1997,male
454B578A4290C98E,classic,brand3,Manor Ave & Leland Ave,KA1504000127,Manor Ave & Leland Ave,KA1504000127,41.97,-87.7,41.97,-87.7,member,1/24/2023,19:04:00,1/24/2023,19:32:00,28,Winter,0.05,0.9,21,Benjamin,Lee,BenjaminLee@gmail.com,5/26/1999,male
